Sample index : 0  | SEN.0  |  SEN.01  |  SEN.02  |  SEN.03  |  SEN.04  |  SEN.05 |
 Sample index : 24  |  43.00  |  53.00  |  54.00  |  53.00  |  19.00  |  0.00  |  
 Sample index : 25  |  43.00  |  56.00  |  56.00  |  53.00  |  19.00  |  0.00  |  
 Sample index : 26  |  41.00  |  57.00  |  55.00  |  51.00  |  19.00  |  0.00  |  
 Sample index : 27  |  40.00  |  52.00  |  55.00  |  52.00  |  18.00  |  0.00  |  
 Sample index : 28  |  40.00  |  53.00  |  55.00  |  51.00  |  18.00  |  0.00  |  
 Sample index : 29  |  41.00  |  54.00  |  51.00  |  52.00  |  18.00  |  0.00  |  
 Sample index : 30  |  40.00  |  51.00  |  51.00  |  53.00  |  17.00  |  0.00  |  
 Sample index : 31  |  40.00  |  51.00  |  53.00  |  50.00  |  17.00  |  0.00  |  
 Sample index : 32  |  40.00  |  52.00  |  53.00  |  51.00  |  18.00  |  0.00  |  
 Sample index : 33  |  41.00  |  50.00  |  50.00  |  50.00  |  16.00  |  0.00  |  
 Sample index : 34  |  39.00  |  50.00  |  51.00  |  50.00  |  16.00  |  0.00  |  
 Sample index : 35  |  40.00  |  50.00  |  56.00  |  51.00  |  17.00  |  0.00  |  
 Sample index : 36  |  40.00  |  47.00  |  50.00  |  50.00  |  16.00  |  0.00  |  
 Sample index : 37  |  38.00  |  48.00  |  49.00  |  49.00  |  15.00  |  0.00  |  
 Sample index : 38  |  39.00  |  51.00  |  54.00  |  49.00  |  18.00  |  0.00  |  
 Sample index : 39  |  38.00  |  48.00  |  50.00  |  50.00  |  17.00  |  0.00  |  
 Sample index : 40  |  37.00  |  49.00  |  50.00  |  48.00  |  15.00  |  0.00  |  
 Sample index : 41  |  39.00  |  50.00  |  52.00  |  49.00  |  18.00  |  0.00  |  
 Sample index : 42  |  40.00  |  51.00  |  49.00  |  49.00  |  17.00  |  0.00  |  
 Sample index : 43  |  40.00  |  48.00  |  52.00  |  48.00  |  16.00  |  0.00  |  
 Sample index : 44  |  39.00  |  49.00  |  49.00  |  48.00  |  17.00  |  0.00  |  
 Sample index : 45  |  36.00  |  50.00  |  49.00  |  47.00  |  18.00  |  0.00  |  
 Sample index : 46  |  38.00  |  47.00  |  52.00  |  47.00  |  16.00  |  0.00  |  
 Sample index : 47  |  37.00  |  46.00  |  47.00  |  49.00  |  17.00  |  0.00  |  
 Sample index : 48  |  37.00  |  46.00  |  47.00  |  48.00  |  17.00  |  0.00  |  
 Sample index : 49  |  38.00  |  45.00  |  49.00  |  46.00  |  16.00  |  0.00  |  
 Sample index : 50  |  40.00  |  43.00  |  45.00  |  47.00  |  16.00  |  0.00  |  
 Sample index : 51  |  38.00  |  43.00  |  46.00  |  48.00  |  16.00  |  0.00  |  
 Sample index : 52  |  39.00  |  43.00  |  48.00  |  46.00  |  15.00  |  0.00  |  
 Sample index : 53  |  40.00  |  44.00  |  45.00  |  45.00  |  15.00  |  0.00  |  
 Sample index : 54  |  40.00  |  45.00  |  44.00  |  46.00  |  15.00  |  0.00  |  
 Sample index : 55  |  39.00  |  43.00  |  47.00  |  47.00  |  15.00  |  0.00  |  
 Sample index : 56  |  39.00  |  43.00  |  47.00  |  46.00  |  15.00  |  0.00  |  
 Sample index : 57  |  39.00  |  46.00  |  45.00  |  45.00  |  15.00  |  0.00  |  
 Sample index : 58  |  39.00  |  42.00  |  47.00  |  44.00  |  14.00  |  0.00  |  
 Sample index : 59  |  37.00  |  42.00  |  48.00  |  45.00  |  14.00  |  0.00  |  
