Sample index : 0  , SEN.0  ,  SEN.01  ,  SEN.02  ,  SEN.03  ,  SEN.04  ,  SEN.05 
Sample index : 47  ,  0.00  ,  10.00  ,  27.00  ,  3.00  ,  9.00  ,  0.00  
Sample index : 48  ,  0.00  ,  8.00  ,  27.00  ,  2.00  ,  9.00  ,  0.00  
Sample index : 49  ,  0.00  ,  6.00  ,  27.00  ,  2.00  ,  9.00  ,  0.00  
Sample index : 50  ,  0.00  ,  4.00  ,  27.00  ,  3.00  ,  8.00  ,  0.00  
Sample index : 51  ,  0.00  ,  3.00  ,  28.00  ,  4.00  ,  8.00  ,  0.00  
Sample index : 52  ,  0.00  ,  3.00  ,  28.00  ,  4.00  ,  7.00  ,  0.00  
Sample index : 53  ,  0.00  ,  5.00  ,  31.00  ,  4.00  ,  6.00  ,  0.00  
Sample index : 54  ,  0.00  ,  8.00  ,  31.00  ,  3.00  ,  5.00  ,  0.00  
Sample index : 55  ,  0.00  ,  10.00  ,  33.00  ,  3.00  ,  5.00  ,  0.00  
Sample index : 56  ,  0.00  ,  11.00  ,  35.00  ,  4.00  ,  4.00  ,  0.00  
Sample index : 57  ,  0.00  ,  14.00  ,  34.00  ,  4.00  ,  2.00  ,  0.00  
Sample index : 58  ,  0.00  ,  15.00  ,  34.00  ,  4.00  ,  2.00  ,  0.00  
Sample index : 59  ,  0.00  ,  13.00  ,  34.00  ,  3.00  ,  3.00  ,  0.00  
Sample index : 0  , SEN.0  ,  SEN.01  ,  SEN.02  ,  SEN.03  ,  SEN.04  ,  SEN.05 
Sample index : 0  ,  20.00  ,  33.00  ,  59.00  ,  12.00  ,  13.00  ,  0.00  
Sample index : 1  ,  22.00  ,  32.00  ,  58.00  ,  11.00  ,  13.00  ,  0.00  
Sample index : 2  ,  22.00  ,  32.00  ,  56.00  ,  10.00  ,  13.00  ,  0.00  
Sample index : 3  ,  23.00  ,  31.00  ,  56.00  ,  10.00  ,  12.00  ,  0.00  
Sample index : 4  ,  23.00  ,  32.00  ,  57.00  ,  11.00  ,  12.00  ,  0.00  
Sample index : 5  ,  23.00  ,  35.00  ,  56.00  ,  12.00  ,  12.00  ,  0.00  
Sample index : 6  ,  26.00  ,  32.00  ,  56.00  ,  12.00  ,  11.00  ,  0.00  
Sample index : 7  ,  26.00  ,  32.00  ,  56.00  ,  11.00  ,  10.00  ,  0.00  
Sample index : 8  ,  24.00  ,  31.00  ,  56.00  ,  11.00  ,  11.00  ,  0.00  
Sample index : 9  ,  23.00  ,  31.00  ,  55.00  ,  11.00  ,  11.00  ,  0.00  
Sample index : 10  ,  24.00  ,  31.00  ,  55.00  ,  11.00  ,  9.00  ,  0.00  
Sample index : 11  ,  25.00  ,  29.00  ,  56.00  ,  11.00  ,  10.00  ,  0.00  
Sample index : 12  ,  26.00  ,  28.00  ,  57.00  ,  10.00  ,  10.00  ,  0.00  
Sample index : 13  ,  24.00  ,  29.00  ,  57.00  ,  11.00  ,  9.00  ,  0.00  
Sample index : 14  ,  24.00  ,  28.00  ,  56.00  ,  11.00  ,  10.00  ,  0.00  
Sample index : 15  ,  24.00  ,  27.00  ,  56.00  ,  10.00  ,  11.00  ,  0.00  
