
Sample index : 0  | SEN.0  |  SEN.01  |  SEN.02  |  SEN.03  |  SEN.04  |  SEN.05 |
 Sample index : 45  |  77.00  |  70.00  |  61.00  |  48.00  |  57.00  |  0.00  |  
 Sample index : 46  |  78.00  |  66.00  |  58.00  |  47.00  |  57.00  |  0.00  |  
 Sample index : 47  |  78.00  |  62.00  |  58.00  |  47.00  |  56.00  |  0.00  |  
 Sample index : 48  |  78.00  |  54.00  |  58.00  |  46.00  |  55.00  |  0.00  |  
 Sample index : 49  |  78.00  |  49.00  |  59.00  |  46.00  |  55.00  |  0.00  |  
 Sample index : 50  |  77.00  |  45.00  |  58.00  |  46.00  |  55.00  |  0.00  |  
 Sample index : 51  |  78.00  |  46.00  |  55.00  |  45.00  |  54.00  |  0.00  |  
 Sample index : 52  |  75.00  |  52.00  |  58.00  |  45.00  |  54.00  |  0.00  |  
 Sample index : 53  |  76.00  |  54.00  |  60.00  |  45.00  |  54.00  |  0.00  |  
 Sample index : 54  |  75.00  |  59.00  |  58.00  |  44.00  |  54.00  |  0.00  |  
 Sample index : 55  |  73.00  |  64.00  |  59.00  |  44.00  |  52.00  |  0.00  |  
 Sample index : 56  |  74.00  |  66.00  |  59.00  |  43.00  |  52.00  |  0.00  |  
 Sample index : 57  |  76.00  |  67.00  |  57.00  |  43.00  |  52.00  |  0.00  |  
 Sample index : 58  |  74.00  |  69.00  |  56.00  |  43.00  |  52.00  |  0.00  |  
 Sample index : 59  |  74.00  |  64.00  |  54.00  |  44.00  |  53.00  |  0.00  |  
Sample index : 0  | SEN.0  |  SEN.01  |  SEN.02  |  SEN.03  |  SEN.04  |  SEN.05 |
 Sample index : 0  |  92.00  |  83.00  |  87.00  |  65.00  |  62.00  |  0.00  |  
 Sample index : 1  |  93.00  |  81.00  |  88.00  |  63.00  |  61.00  |  0.00  |  
 Sample index : 2  |  93.00  |  81.00  |  87.00  |  65.00  |  62.00  |  0.00  |  
 Sample index : 3  |  91.00  |  80.00  |  85.00  |  64.00  |  62.00  |  0.00  |  
 Sample index : 4  |  92.00  |  76.00  |  82.00  |  64.00  |  63.00  |  0.00  |  
 Sample index : 5  |  92.00  |  72.00  |  82.00  |  63.00  |  62.00  |  0.00  |  
 Sample index : 6  |  91.00  |  70.00  |  81.00  |  63.00  |  61.00  |  0.00  |  
 Sample index : 7  |  91.00  |  69.00  |  79.00  |  62.00  |  60.00  |  0.00  |  
 Sample index : 8  |  90.00  |  69.00  |  82.00  |  63.00  |  60.00  |  0.00  |  
 Sample index : 9  |  89.00  |  71.00  |  81.00  |  63.00  |  60.00  |  0.00  |  
 Sample index : 10  |  88.00  |  73.00  |  81.00  |  61.00  |  60.00  |  0.00  |  
 Sample index : 11  |  87.00  |  76.00  |  85.00  |  61.00  |  59.00  |  0.00  |  
 Sample index : 12  |  87.00  |  76.00  |  82.00  |  61.00  |  59.00  |  0.00  |  
 Sample index : 13  |  87.00  |  77.00  |  80.00  |  61.00  |  59.00  |  0.00  |  
 Sample index : 14  |  87.00  |  75.00  |  81.00  |  61.00  |  59.00  |  0.00  |  
 Sample index : 15  |  87.00  |  75.00  |  79.00  |  59.00  |  58.00  |  0.00  |  
 Sample index : 16  |  86.00  |  73.00  |  76.00  |  59.00  |  57.00  |  0.00  |  
